,answer
0,서강대 메리홀 대극장
1,저축은행중앙회
2,구문론
3,1956년
4,1부
5,이베이
6,50개
7,‘쿠리어’
8,스타일태그
9,‘은행 계좌이동제’
10,‘최종면접에서의 역량 부족’
11,바트러첸코 이반
12,게라심 콜라파코프스키
13,경북대
14,은관문화훈장
15,19명
16,9월
17,2011년부터
18,1년7개월
19,‘중간저장’
20,6000만달러
21,10월1일
22,사운드클라우드
23,정부
24,최낙정 해양수산부 장관
25,템퍼
26,1사1병영 캠페인
27,파란색
28,‘골드 올리브’
29,강북구
30,동아시아정상회의(EAS)
31,5달러
32,형사
33,기획재정부
34,11월
35,4천 명
36,헨리 H. 빙엄
37,진나라에 저항
38,제주도 SH공사
39,광고 모델
40,3년
41,이윤혜
42,아케디아
43,블랙 핸드
44,대구고검장
45,제네바
46,‘광명역 지웰 에스테이트’
47,금융위기
48,450억달러
49,말랑카우
50,조대식
51,이승현
52,36세
53,한덕희 대표
54,서일본 고속도로
55,포스코
56,2003년
57,멀리사 스넬 (Melissa Snell)
58,《완전한 죽음》
59,난류
60,스웨덴
61,금리 눈속임
62,민우혁
63,7명
64,감사원
65,‘랜덤 업그레이드 배차’
66,철기
67,95인치
68,최대주주
69,케냐의 우간다 정교회
70,3.8%
71,7일
72,엘리엇
73,우윤근
74,3억8000만원
75,넷마블
76,박종훈
77,27일
78,벡스코
79,신청자의 사연
80,동림저수지
81,태국
82,세례당
83,일제강점기
84,인간
85,철퇴
86,‘애플케어플러스(AppleCare+)’
87,60개
88,윌키파&갤러거 크리스토퍼 지안카를로
89,허갑범
90,구례 화엄사 각황전 앞 석등(국보 제12호)
91,몸체
92,삼성물산
93,내위성
94,11.6㎞/L
95,‘대구 북죽곡 삼정그린코아 더 베스트’
96,라젠드라 1세
97,1만명
98,1521년
99,총 9차례
100,28일
101,6개
102,한여름
103,비무장지대(DMZ) 관광 활성화
104,대령
105,가까운 미래의 지구
106,금융위원회
107,유승선
108,프로페서 코브라
109,대선 공약
110,‘K-POP MTCamp’
111,스탈린
112,서울드래곤시티 2층 아케이드
113,신형 제네시스
114,장기근속 공제제도
115,알자베르 가문
116,360배
117,740억원
118,네우손 바르보자
119,한국
120,코로나19
121,창작자
122,조선
123,500동
124,프랑스
125,징계위원회
126,1919년
127,오전 5시
128,천안
129,애경그룹
130,정주영
131,클레오메네스
132,5년
133,1999년
134,『협동조합에 관하여』
135,은평구
136,‘신상출시 편스토랑’
137,신동주
138,2.5단계
139,상인
140,조양호
141,롯데면세점
142,스페인
143,2020
144,중국
145,1998년
146,기업은행
147,1조6299억원
148,1610년
149,이탈리아군
150,9월
151,10월 4일
152,986억달러
153,B블록
154,1897년
155,대의제도
156,칠곡
157,에스톡
158,악사 홍선종
159,1988년
160,조선 순조 9년(1809)
161,토니 그윈
162,2010년
163,동양적인 부드러움
164,서방 총대주교
165,인도네시아 발리
166,가장자리
167,23개
168,삼종지도
169,2023t
170,46개
171,페니파싱
172,‘봄날’
173,신분보장 조항의 입법
174,겐로쿠 지진
175,전산교체 과정 의혹
176,산업포장
177,항공사진
178,7만5000원
179,서울
180,와카야마 제4고로
181,사건 자체의 의미
182,NVMe 방식
183,‘설날’
184,두 개
185,방어대장군
186,나미
187,스페인
188,아일린 그레이
189,박세준
190,인스타그램
191,암회색
192,"8만 4,337명"
193,무료
194,보건복지부
195,170cm
196,에어팟 프로
197,한문 교사
198,서대문 경교장
199,‘분리과세 하이일드펀드’
200,뮤직박스 음악
201,기초노령연금
202,29일
203,820만채
204,150
205,1939년
206,2016년
207,최관호
208,1.6%
209,채무자
210,테헤란
211,14.4%
212,베르나르도 총대주교
213,23조6000억원
214,40억원
215,강재섭
216,9510가구
217,암
218,스카이 해븐 사원
219,동성상고
220,‘플립보드’
221,1996년
222,고등학교를 보다 일찍 졸업하기 위한 수단
223,투시노
224,2개
225,2005년
226,소프트웨어 모듈
227,순자격식(循資格式)
228,뉴캐슬
229,4년
230,조선중앙일보
231,148조6000억원
232,미시코바강
233,SM엔터테인먼트
234,크리세스
235,페이스북
236,제우스
237,해운조합
238,중앙대
239,갈리아
240,"""경찰과 국민은 하나"""
241,다양한 소비자들의 취향을 반영
242,슈퍼세이브에 ‘재가입’하는 회원들
243,91명
244,싱가포르
245,‘자동 Wake-up’
246,암으로 죽어간다는 믿음
247,1억원
248,표트르 슈체틴킨
249,에어워셔 ‘숨’
250,국무총리
251,자동차
252,2015년
253,통인 주기
254,세인트루이스
255,50인
